gen,stage,mean_fit,max_fit,sigma,eval_return,arrivals,charged,cells,bumps,fell,flat,secs
124,3,155.08,232.95,0.0706,206.48,2.4,0.0,11.3,3.8,0.0,0.0,5.0
125,3,130.42,231.38,0.0705,,,,,,,,6.04
126,3,127.54,209.02,0.0705,,,,,,,,5.08
127,3,58.08,159.99,0.0704,,,,,,,,5.77
128,3,99.96,179.51,0.0703,,,,,,,,5.41
129,3,132.19,235.64,0.0702,168.5,1.8,0.0,14.2,17.1,0.2,0.0,5.38
130,3,151.5,293.06,0.0702,,,,,,,,5.26
131,3,60.87,153.78,0.0701,,,,,,,,5.66
132,3,69.13,199.04,0.07,,,,,,,,5.33
133,3,123.53,265.19,0.07,,,,,,,,4.98
134,3,278.24,416.15,0.0699,135.93,1.7,0.0,10.8,12.9,0.3,0.0,4.94
135,3,220.76,367.29,0.0698,,,,,,,,5.55
136,3,134.36,247.47,0.0698,,,,,,,,5.66
137,3,152.65,244.23,0.0697,,,,,,,,4.85
138,3,301.05,437.0,0.0696,,,,,,,,5.07
139,3,236.56,337.35,0.0695,130.09,1.6,0.0,13.1,37.6,0.0,0.0,5.3
140,3,163.6,284.25,0.0695,,,,,,,,5.83
141,3,132.64,242.75,0.0694,,,,,,,,5.89
142,3,183.59,323.81,0.0693,,,,,,,,5.93
143,3,269.84,351.02,0.0693,,,,,,,,5.41
144,3,115.09,220.36,0.0692,199.94,2.2,0.0,12.9,24.0,0.0,0.0,6.16
145,3,165.33,281.87,0.0691,,,,,,,,5.83
146,3,214.35,311.13,0.0691,,,,,,,,5.76
147,3,243.01,387.41,0.069,,,,,,,,5.88
148,3,201.78,310.77,0.0689,,,,,,,,6.15
